"page_id","page_name","page_type","jurisdiction","politics_type","gov_level","electorate","party","page_link"
"100542636302455",Ray Goodlass - Greens Candidate for Wagga Wagga,Politics,NSW,Candidate,State,Wagga Wagga,Green,https://www.facebook.com/100542636302455
"100543855928347",Kathleen Matthews-Ward - Labor for Broadmeadows,Politics,VIC,Candidate,State,Broadmeadows,ALP,https://www.facebook.com/100543855928347
"100559476192876",Brendan Powell - Greens for Croydon,Politics,VIC,Candidate,State,Croydon,Green,https://www.facebook.com/100559476192876
"100572236242337",Dubbo Region Labor,Politics,NSW,Party,State,Dubbo,ALP,https://www.facebook.com/100572236242337
"100593108554487",Hannah Beazley MLA,Politics,WA,Candidates,State,"","",https://www.facebook.com/100593108554487
"100660092635626",Natalie Hanna - Greens for Banks,Politics,NSW,Candidate,Federal,Banks,Green,https://www.facebook.com/100660092635626
"100669152449518",Dr Carl Ungerer for the Southern Gold Coast,Politics,QLD,Candidate,State,"",ALP,https://www.facebook.com/100669152449518
"100695548197668",Damien Ryan,Politics,NT,Candidate,Federal,Lingiari,CLP,https://www.facebook.com/100695548197668
"100700989236857",Dyson4WannonSupporters,Politics,VIC,Candidate,Federal,Wannon,Independent,https://www.facebook.com/100700989236857
"100705962847632",Andrew Henley - Greens for Evelyn,Politics,VIC,Candidates,State,Evelyn,Green,https://www.facebook.com/100705962847632
"100710396207035",Labor for Myall Lakes,Politics,NSW,Party,State,Myall Lakes,ALP,https://www.facebook.com/100710396207035
"100729011791876",Meca Ho,Politics,VIC,Candidate,State,Richmond,Independent,https://www.facebook.com/100729011791876
"100729475607181",The Community Independents Project,Politics,"",Misc,"","",Independent,https://www.facebook.com/100729475607181
"100734579536406",Kylie von Muenster - Liberal Candidate for Coogee,Politics,NSW,Candidate,State,Coogee,Liberal,https://www.facebook.com/100734579536406
"100740312934176",Warren Kirby - Labor for Riverstone,Politics,NSW,Candidate,State,Riverstone,ALP,https://www.facebook.com/100740312934176
"100778125916502",Simon Kennedy - Liberal Candidate for Bennelong,Politics,NSW,Candidate,Federal,Bennelong,Liberal,https://www.facebook.com/100778125916502
"100779539239073",Slade Minson - Liberal for Canberra,Politics,ACT,Candidate,Federal,Canberra,Liberal,https://www.facebook.com/100779539239073
"100797488277640",Campbell Newman - Lead QLD Senate Candidate,Politics,QLD,Candidate,Federal,QLD,Liberal Democrats,https://www.facebook.com/100797488277640
"100819892801212",Michael Ray - Independent Candidate for Eureka,Politics,VIC,Candidate,State,Eureka,Independent,https://www.facebook.com/100819892801212
"100833819241876",Kyinzom Dhongdue for Bennelong,Politics,NSW,Candidate,Federal,Bennelong,Democratic Alliance,https://www.facebook.com/100833819241876
"100866204731267",Melbourne University Liberal Club,Politics,VIC,Party,"","",Liberal,https://www.facebook.com/100866204731267
"100870941612211",Andrianna Benjamin for Wagga Wagga,Politics,NSW,Candidate,State,Wagga Wagga,Nationals,https://www.facebook.com/100870941612211
"100881149202997",Glen Cookson for Rankin - Pauline Hanson's One Nation,Politics,QLD,Candidate,Federal,Rankin,One Nation,https://www.facebook.com/100881149202997
"100888365560893",Rosie Sahanna MLC,Politics,WA,Candidate,State,Mining & Pastoral Region,ALP,https://www.facebook.com/100888365560893
"100892215932820",It Takes 3,Politics,"",Misc,Federal,"",Independent,https://www.facebook.com/100892215932820
"1009114492437528",Sam Telfer MP - Member for Flinders,Politics,SA,Candidate,State,Flinders,Liberal,https://www.facebook.com/1009114492437528
"1009156222428403",David Morris MP,Politics,VIC,Candidate,State,Mornington,Liberal,https://www.facebook.com/1009156222428403
"100920655116098",The Common Good Party Australia,Politics,"",Party,"","",Common Good,https://www.facebook.com/100920655116098
"100947622353005",Karen Grogan - Senator for SA,Politics,SA,Candidate,Federal,SA,ALP,https://www.facebook.com/100947622353005
"100952895913530",Mira D'Silva,Politics,VIC,Candidate,Federal,Maribyrnong,Liberal,https://www.facebook.com/100952895913530
"100963998867056",Marion Scrymgour MP,Politics,NT,Candidate,Federal,NT,ALP,https://www.facebook.com/100963998867056
"100966729112125",Peter Hudson - Liberal for Brand,Politics,WA,Candidate,Federal,Brand,Liberal,https://www.facebook.com/100966729112125
"100968549256133",Eli Davern - Greens,Politics,NSW,Candidate,State,Albury,Green,https://www.facebook.com/100968549256133
"100975585264456",Jackie Jarvis MLC,Politics,WA,Candidate,State,South West,ALP,https://www.facebook.com/100975585264456
"100982372532988",Trent Ames - Labor for Hartley,Politics,SA,Candidate,State,Hartley,ALP,https://www.facebook.com/100982372532988
"100997346154903",Michael Ormsby - Greens for Monbulk,Politics,VIC,Candidate,State,Monbulk,Green,https://www.facebook.com/100997346154903
"101006259579304",Helen Dalton 4 Murray,Politics,NSW,Candidate,State,Murray,Independent,https://www.facebook.com/101006259579304
"101013236196328",Victoria Davidson for Lane Cove,Politics,NSW,Candidate,State,Lane Cove,Independent,https://www.facebook.com/101013236196328
"101031602367003",Independent Lismore,Politics,"","",State,"","",https://www.facebook.com/101031602367003
"101041052534973",Quinton Cunningham for Blair,Politics,QLD,Candidate,Federal,Blair,UAP,https://www.facebook.com/101041052534973
"101046786173722",Tina Ayyad - Liberal Candidate for Holsworthy,Politics,NSW,Candidate,State,Holsworthy,Liberal,https://www.facebook.com/101046786173722
